state,age1564.csv,age15u.csv,age65o.csv,asian.csv,black.csv,female.csv,indian.csv,male.csv,owneroccupied.csv,pop.csv,renteroccupied.csv,totalhouseholds.csv,white.csv
Alabama,2515215,938658,440015,9734,996335,2022354,7583,1871534,941219,3893888,400637,1341856,2872621
Arizona,1766330,644523,307362,22032,74977,1380273,152745,1337942,653833,2718215,303199,957032,2240761
Arkansas,1432510,541448,312477,6740,373768,1181747,9428,1104688,575478,2286435,240587,816065,1890322
California,16098885,5154767,2414250,1253818,1819281,12001417,201369,11666485,4825252,23667902,3804614,8629866,18030893
Colorado,1986862,655777,247325,29916,101703,1455671,18068,1434293,684408,2889964,376841,1061249,2571498
Connecticut,2095483,647229,364864,18970,217433,1609571,4533,1498005,699224,3107576,394454,1093678,2799420
Delaware,403062,132097,59179,4112,95845,307739,1328,286599,143073,594338,64008,207081,487817
District_of_Columbia,450930,113116,74287,6636,448906,342916,1031,295417,89846,638333,163297,253143,171768
Florida,6181977,1876774,1687573,56740,1342688,5070698,19257,4675626,2557079,9746324,1187175,3744254,8184513
Georgia,3615010,1331364,516731,24457,1465181,2822660,7616,2640445,1216459,5463105,655193,1871652,3947135
Idaho,594772,255483,93680,5948,2716,472780,10521,471155,233393,943935,90714,324107,901641
Illinois,7553394,2611239,1261885,159653,1675398,5888981,16283,5537537,2533832,11426518,1511542,4045374,9233327
Indiana,3598195,1306645,585384,20557,414785,2824399,7836,2665825,1381918,5490224,545132,1927050,5004394
Iowa,1861855,664369,387584,11577,41700,1497418,5455,1416390,756517,2913808,296516,1053033,2839225
Kansas,1532161,525255,306263,15078,126127,1206738,15373,1156941,612435,2363679,259804,872239,2168221
Kentucky,2377062,873887,409828,9970,259477,1871738,3610,1789039,884825,3660777,378530,1263355,3379006
Louisiana,2722327,1079294,404279,23779,1238241,2166006,12065,2039894,925139,4205900,486649,1411788,2912172
Maine,726772,256970,140918,2947,3128,578425,4087,546235,280377,1124660,114807,395184,1109850
Maryland,2899598,921768,395609,64278,958150,2174165,8021,2042810,905535,4216975,555330,1460865,3158838
Massachusetts,3837225,1173281,726531,49501,221279,3006144,7743,2730893,1169819,5737037,862898,2032717,5362836
Michigan,6135713,2214107,912258,56790,1199023,4745889,40050,4516189,2321883,9262078,873330,3195213,7872241
Minnesota,2659484,936922,479564,26536,53344,2078144,35016,1997826,1035689,4075970,409533,1445222,3935770
Mississippi,1570678,660603,289357,7412,887206,1306760,6180,1213878,587696,2520638,239473,827169,1615190
Missouri,3176822,1091738,648126,23096,514276,2551199,12321,2365487,1248785,4916686,544614,1793399,4345521
Montana,514899,187232,84559,2503,1786,394065,37270,392625,194580,786690,89162,283742,740148
Nebraska,1002243,361898,205684,7002,48390,803931,9195,765894,390931,1569825,180469,571400,1490381
Nevada,561172,173565,65756,14164,50999,395433,13308,405060,181274,800493,123053,304327,700345
New_Hampshire,610371,207272,102967,2929,3990,472148,1352,448462,218823,920610,104670,323493,910099
New_Jersey,4927475,1577577,859771,103848,925066,3831811,8394,3533012,1579827,7364823,968767,2548594,6127467
New_Mexico,848541,338447,115906,6825,24020,660737,106119,642157,300570,1302894,140896,441466,977587
New_York,11670441,3726864,2160767,310526,2402006,9218650,39582,8339422,3083406,17558072,3257023,6340429,13960868
North_Carolina,3944593,1333992,603181,21176,1318857,3026381,64652,2855385,1397425,5881766,645866,2043291,4457507
North_Dakota,417461,154811,80445,1979,2568,324291,20158,328426,156498,652717,71166,227664,625557
Ohio,7132915,2495255,1169460,47820,1076748,5580493,12239,5217137,2622919,10797630,1210909,3833828,9597458
Oklahoma,1955609,693555,376126,17275,204674,1548585,169459,1476705,790614,3025290,327947,1118561,2597791
Oregon,1739891,589878,303336,34775,37060,1336539,27314,1296566,645941,2633105,345652,991593,2490610
Pennsylvania,7848462,2484500,1530933,64379,1046810,6181305,9465,5682590,2950649,11863895,1268957,4219606,10652320
Rhode_Island,627905,192327,126922,5303,27584,495903,2898,451251,199075,947154,139515,338590,896692
South_Carolina,2076154,758338,287328,11834,948623,1603807,5757,1518013,722547,3121820,307434,1029981,2147224
South_Dakota,434032,165717,91019,1738,2144,350085,44968,340683,168002,690768,74521,242523,639669
Tennessee,3027576,1045956,517588,13963,725942,2374520,5104,2216600,1110074,4591120,508431,1618505,3835452
Texas,9339092,3518938,1371161,120313,1710175,7230468,40075,6998723,3169512,14229191,1759755,4929267,11198441
Utah,889987,461830,109220,15076,9225,736536,19256,724501,317172,1461037,131431,448603,1382550
Vermont,336787,116503,58166,1355,1135,262376,984,249080,122560,511456,55765,178325,506736
Virginia,3662253,1179261,505304,66209,1008668,2728508,9454,2618310,1221555,5346818,641518,1863073,4229798
Washington,2776465,924129,431562,102537,105574,2079849,60804,2052307,1011319,4132156,529191,1540510,3779170
West_Virginia,1255902,455874,237868,5194,65051,1004236,1610,945408,504921,1949644,181390,686311,1874751
Wisconsin,3057579,1083991,564197,18164,182592,2400340,29499,2305427,1127367,4705767,524894,1652261,4443035
Wyoming,311116,121266,37175,1969,3364,228997,7094,240560,114653,469557,50971,165624,446488
