,1900,1910,1920,1930,1940,1950,1960,1970,1980,1990,2000
Alabama,916764,1074209,1173105,1315009,1399901,1502640,1591709,1661941,1871534,1936162,2146504
Alaska,(X),(X),(X),(X),(X),(X),128811,163258,213041,289867,324112
Arizona,71795,118574,183602,231304,258170,379059,654928,871006,1337942,1810691,2561057
Arkansas,675312,810026,895228,939843,982916,951534,878987,932310,1104688,1133076,1304693
California,820531,1322978,1813591,2942595,3515730,5295629,7836707,9816685,11666485,14897627,16874892
Colorado,295332,430697,492731,530752,568778,665149,870467,1089377,1434293,1631295,2165983
Connecticut,454294,563642,695335,801303,849923,988497,1244229,1470487,1498005,1592873,1649319
Delaware,94158,103435,113755,121257,134333,157344,221136,267332,286599,322968,380541
District_of_Columbia,132004,158050,203543,231883,317522,377918,358171,351491,295417,282970,269366
Florida,275246,394166,495320,737675,943123,1366917,2436783,3275571,4675626,6261719,7797715
Georgia,1103201,1305019,1444823,1434527,1534758,1688667,1925913,2230696,2640445,3144503,4027113
Hawaii,(X),(X),(X),(X),(X),(X),338173,399205,494683,563891,608671
Idaho,93367,185546,233919,237347,276579,303237,338421,355750,471155,500956,648660
Illinois,2472782,2911674,3304833,3873457,3957149,4319251,4952866,5391836,5537537,5552233,6080336
Indiana,1285404,1383295,1489074,1640061,1725201,1958516,2298738,2531170,2665825,2688281,2982474
Iowa,1156849,1148171,1229392,1255101,1280494,1310283,1359047,1372867,1416390,1344802,1435515
Kansas,768716,885912,909221,961291,906340,953534,1081377,1101573,1156941,1214645,1328474
Kentucky,1090227,1161709,1227494,1322793,1435812,1474987,1508448,1579036,1789039,1785235,1975368
Louisiana,694733,835275,903335,1047823,1172382,1319166,1592254,1771484,2039894,2031386,2162903
Maine,350995,377052,388752,401285,425821,454145,479054,482865,546235,597850,620309
Maryland,589275,644225,729455,821009,915038,1166603,1533200,1916321,2042810,2318671,2557794
Massachusetts,1367474,1655248,1890014,2071672,2102479,2270367,2486235,2719398,2730893,2888745,3058816
Michigan,1248905,1454534,1928436,2519309,2694727,3212119,3882868,4348648,4516189,4512781,4873095
Minnesota,932490,1108511,1245537,1316571,1427545,1501208,1692962,1863810,1997826,2145183,2435631
Mississippi,781451,905760,897124,1005141,1084482,1076791,1067933,1074217,1213878,1230617,1373554
Missouri,1595710,1687813,1723319,1822866,1881252,1940863,2108279,2255952,2365487,2464315,2720177
Montana,149842,226872,299941,293228,299009,309423,343743,347005,392625,395769,449480
Nebraska,564592,627782,672805,706348,665788,667332,700026,724455,765894,769439,843351
Nevada,25603,52551,46240,53161,61341,85017,147521,247798,405060,611880,1018051
New_Hampshire,205379,216290,222112,231759,244909,262424,298107,360672,448462,543544,607687
New_Jersey,941760,1286463,1590075,2030644,2069159,2382744,2971991,3467373,3533012,3735685,4082813
New_Mexico,104228,175245,190456,219222,271846,347544,479770,500824,642157,745253,894317
New_York,3614780,4584597,5187350,6312520,6690326,7239944,8123239,8715339,8339422,8625673,9146748
North_Carolina,938677,1098476,1279062,1575208,1772990,2017105,2247069,2488367,2855385,3214290,3942695
North_Dakota,177493,317554,341673,359615,335402,322944,323208,311609,328426,318201,320524
Ohio,2102655,2434758,2955980,3361141,3461072,3928534,4764228,5163373,5217137,5226340,5512262
Oklahoma,423311,881578,1058044,1233264,1181892,1115555,1147851,1246355,1476705,1530819,1695895
Oregon,232985,384265,416334,499672,562689,772776,879951,1023952,1296566,1397073,1696550
Pennsylvania,3204541,3942206,4429020,4845517,4951207,5170411,5509851,5665414,5682590,5694265,5929663
Rhode_Island,210516,270314,297524,335372,349404,390583,421845,464291,451251,481496,503635
South_Carolina,664895,751842,838293,853158,935239,1040540,1175818,1272087,1518013,1688510,1948929
South_Dakota,216164,317112,337120,363650,332514,337251,344271,330033,340683,342498,374558
Tennessee,1021224,1103491,1173967,1304559,1445829,1623107,1740690,1897674,2216600,2348928,2770275
Texas,1578900,2017626,2409222,2965994,3221103,3863142,4744981,5481169,6998723,8365963,10352910
Utah,141687,196863,232051,259999,278620,347636,444924,523265,724501,855759,1119031
Vermont,175138,182568,178854,183266,182224,187754,191743,217166,249080,275492,298337
Virginia,925897,1035348,1168492,1216046,1349004,1675216,1979372,2297121,2618310,3033974,3471895
Washington,304178,658663,734701,826392,905757,1223851,1435037,1693747,2052307,2413747,2934300
West_Virginia,499242,644044,763100,889871,968582,1006287,915035,844669,945408,861536,879170
Wisconsin,1067562,1208578,1356718,1510815,1600176,1726842,1964512,2167373,2305427,2392935,2649041
Wyoming,58184,91670,110359,124785,135055,154853,169015,166775,240560,227007,248374
